***********************************************************************************************************************************************
*    Row   * Instance *   PdgCode * Mother_Mc * N_Daughte * FirstDau_ * LastDau_M * StatusCod * Generator * IsPhysPri * IsSecFrom * IsSecFrom *
***********************************************************************************************************************************************
*        0 *      240 * 1.020e+09 *        -1 *         2 *       241 *       242 *       400 *         4 *         0 *         0 *         0 *
*        0 *      241 *      3122 *       240 *         2 *       243 *       244 *       400 *         4 *         0 *         0 *         1 *
*        0 *      242 *      3122 *       240 *         2 *       245 *       246 *       400 *         4 *         0 *         0 *         1 *
*        0 *      243 *      2212 *       241 *         8 *      4581 *      4588 *         1 *         4 *         1 *         0 *         0 *
*        0 *      244 *      -211 *       241 *         0 *        -1 *        -1 *         1 *         4 *         1 *         0 *         0 *
*        0 *      245 *      2212 *       242 *         4 *      4573 *      4576 *         1 *         4 *         1 *         0 *         0 *
*        0 *      246 *      -211 *       242 *         0 *        -1 *        -1 *         1 *         4 *         1 *         0 *         0 *
*        0 *      247 * 1.020e+09 *        -1 *         2 *       248 *       249 *       401 *         4 *         0 *         0 *         0 *
*        0 *      248 *      3122 *       247 *         2 *       250 *       251 *       401 *         4 *         0 *         0 *         1 *
*        0 *      249 *      3122 *       247 *         2 *       252 *       253 *       401 *         4 *         0 *         0 *         1 *
*        0 *      250 *      2212 *       248 *        49 *      4523 *      4571 *         1 *         4 *         1 *         0 *         0 *
*        0 *      251 *      -211 *       248 *         1 *      4518 *      4518 *         1 *         4 *         1 *         0 *         0 *
*        0 *      252 *      2212 *       249 *         0 *        -1 *        -1 *         1 *         4 *         1 *         0 *         0 *
*        0 *      253 *      -211 *       249 *         3 *      4514 *      4516 *         1 *         4 *         1 *         0 *         0 *
*        0 *      254 * 1.020e+09 *        -1 *         2 *       255 *       256 *       402 *         4 *         0 *         0 *         0 *
*        0 *      255 *      3122 *       254 *         2 *       257 *       258 *       402 *         4 *         0 *         0 *         1 *
*        0 *      256 *      3122 *       254 *         2 *       259 *       260 *       402 *         4 *         0 *         0 *         1 *
*        0 *      257 *      2212 *       255 *         1 *      4513 *      4513 *         1 *         4 *         1 *         0 *         0 *
*        0 *      258 *      -211 *       255 *         4 *      4509 *      4512 *         1 *         4 *         1 *         0 *         0 *
*        0 *      259 *      2212 *       256 *         2 *      4507 *      4508 *         1 *         4 *         1 *         0 *         0 *
*        0 *      260 *      -211 *       256 *         1 *      4506 *      4506 *         1 *         4 *         1 *         0 *         0 *
*        0 *      261 * 1.020e+09 *        -1 *         2 *       262 *       263 *       403 *         4 *         0 *         0 *         0 *
*        0 *      262 *      3122 *       261 *         2 *       264 *       265 *       403 *         4 *         0 *         0 *         1 *
*        0 *      263 *      3122 *       261 *         2 *       266 *       267 *       403 *         4 *         0 *         0 *         1 *
*        0 *      264 *      2212 *       262 *         3 *      4503 *      4505 *         1 *         4 *         1 *         0 *         0 *
*        0 *      265 *      -211 *       262 *         4 *      4499 *      4502 *         1 *         4 *         1 *         0 *         0 *
